,HomeboxYesandNo,latitude,longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
245,Privat ,48.8767507,2.3539485,L'Ours Bar,48.87460441775803,2.3544449149534543,Cocktail Bar
246,Privat ,48.8767507,2.3539485,Pleine Mer,48.87688656800395,2.3535234480694958,Seafood Restaurant
247,Privat ,48.8767507,2.3539485,La Maison Bleue,48.878114164386126,2.3513338632810297,French Restaurant
248,Privat ,48.8767507,2.3539485,Nanashi,48.875296745909736,2.3515112409265875,Japanese Restaurant
249,Privat ,48.8767507,2.3539485,Ahipoké,48.87658473284471,2.3513970728799904,Hawaiian Restaurant
250,Privat ,48.8767507,2.3539485,Nous,48.87476659828924,2.353747260032455,Gluten-free Restaurant
251,Privat ,48.875932,2.3590599,Marrow,48.87442541960633,2.3588848114013667,Café
252,Privat ,48.875932,2.3590599,Les Orientalistes,48.87550152112596,2.3588445782661442,Mediterranean Restaurant
253,Privat ,48.875932,2.3590599,BMK Paris-Bamako,48.87464593409851,2.356548607349396,African Restaurant
254,Privat ,48.875932,2.3590599,Marks & Spencer Food,48.87674195537729,2.3584860723718233,Food & Drink Shop
255,Privat ,48.875932,2.3590599,Café A,48.875235616862966,2.360022095087153,Café
256,Privat ,48.875932,2.3590599,Le Delly's,48.878458299848006,2.3578523952671735,African Restaurant
257,Privat ,48.875932,2.3590599,Les Enfants Perdus,48.874385360939435,2.36193549164172,French Restaurant
258,Privat ,48.875932,2.3590599,Le Grand Amour Restaurant,48.87456598277864,2.356321398567025,Restaurant
259,Privat ,48.875932,2.3590599,Le Grand Amour Hôtel,48.874538927210786,2.35626516064086,Hotel
260,Privat ,48.875932,2.3590599,Extérieur Quai - Le Bouillon de l'Est,48.876455612265616,2.357905277073332,Bistro
