,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
101,[],49.236769,2.4668293293513797,Boulanger Creil,49.2369543,2.4675694,Electronics Store
102,[],49.236769,2.4668293293513797,Little Italy Factory,49.238075,2.4649937,Italian Restaurant
103,[],49.236769,2.4668293293513797,BUT,49.236124,2.464775,Furniture / Home Store
104,[],49.236769,2.4668293293513797,Zone Commerciale Saint-Maximin,49.23517803809466,2.468626073321147,Shopping Mall
105,[],49.236769,2.4668293293513797,Cultura,49.238844,2.467142,Bookstore
106,[],49.236769,2.4668293293513797,celio club,49.23532481,2.46957417,Men's Store
107,[],48.8561374,2.3573817999999997,Miznon,48.857200621424404,2.3589573284780676,Israeli Restaurant
108,[],48.8561374,2.3573817999999997,Les Mots à la Bouche,48.85771855127609,2.3573224499493,Bookstore
109,[],48.8561374,2.3573817999999997,Maison Européenne de la Photographie,48.85512804426985,2.358947843313217,Art Museum
110,[],48.8561374,2.3573817999999997,59 Rivoli,48.8561732,2.3579173,Art Gallery
111,[],48.8561374,2.3573817999999997,Aux Merveilleux de Fred,48.85568607650127,2.356368899345398,Dessert Shop
112,[],48.8561374,2.3573817999999997,Mariage Frères,48.85776928296051,2.356618019905924,Tea Room
113,[],48.8561374,2.3573817999999997,Florence Kahn,48.85730682545885,2.3590140076755444,Deli / Bodega
114,[],48.8561374,2.3573817999999997,L'As du Fallafel,48.85741376683434,2.3590779304504395,Falafel Restaurant
115,[],48.8561374,2.3573817999999997,Les Pinces,48.85755185997607,2.3563175494829465,Seafood Restaurant
116,[],48.8561374,2.3573817999999997,Pozzetto,48.85682742435843,2.3562692974557247,Ice Cream Shop
117,[],48.8585635,2.3533957,Fleux',48.85876287681194,2.3541614413261414,Furniture / Home Store
118,[],48.8585635,2.3533957,Comptoir Gourmet,48.859958,2.354374,Restaurant
119,[],48.8585635,2.3533957,Benedict,48.85820815365001,2.3560811411196494,French Restaurant
120,[],48.8585635,2.3533957,Maison Aleph,48.857348,2.354873,Pastry Shop
121,[],48.8585635,2.3533957,Galerie Azzedine Alaïa,48.857544773243966,2.3552169725375203,Art Gallery
122,[],48.8585635,2.3533957,Librairie Flammarion,48.86026970760012,2.352148283025599,Bookstore
123,[],48.8585635,2.3533957,Place de l'Hôtel de Ville – Esplanade de la Libération,48.85692475726913,2.3514118156673676,Plaza
124,[],48.8585635,2.3533957,Fontaine Stravinsky,48.8595783989043,2.35155527020609,Fountain
125,[],48.8585635,2.3533957,Pierre Hermé,48.858127142288076,2.356441979666563,Pastry Shop
126,[],48.8585635,2.3533957,Grand Cœur,48.859737289195145,2.353591484368578,Restaurant
